,confluency_t0,confluency_t2,confluency_t4,confluency_t6,confluency_t8,confluency_t10,confluency_t12,confluency_t14,confluency_t16,confluency_t18,confluency_t20,confluency_t22,confluency_t24,confluency_t26,confluency_t28,confluency_t30,confluency_t32,confluency_t34,confluency_t36,confluency_t38,confluency_t40,confluency_t42,confluency_t44,confluency_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
MK.801..Dizocilpine.,98.52404,98.48363,97.95224,97.44321,97.64104,97.1361,97.01894,97.30479,97.51949,97.61196,97.68506,97.7935,98.12527,97.60699,97.9883,98.21147,98.46864,98.35571,98.39038,98.47542,98.2686,98.46117,98.43108,98.61723,97.9797608333333,97.01894,98.61723,4505.88725,46,12,1.59829000000001,0.093190000000007,0.190655,27,-0.265695000000001,3
Pentamidine,97.68063,98.23226,97.70459,97.30174,96.40638,95.65788,94.99965,94.10214,94.21916,93.7759,93.95909,93.4281,94.4592,94.50803,95.24121,95.93169,95.81413,96.12918,97.45337,97.45924,97.39023,97.4678,97.51658,98.40932,96.0519791666667,93.4281,98.40932,4414.40505,46,22,4.98121999999999,0.72869,0.662095000000001,35,-0.448754999999998,13
VUF.10166,98.32558,98.59838,98.56461,97.88641,97.64616,97.45074,98.07858,97.79171,97.81216,98.53592,97.9753,98.06366,97.93346,98.26038,98.33954,99.19186,99.01456,98.7607,98.92987,98.78764,99.09468,99.49042,99.21902,99.25756,98.4587041666667,97.45074,99.49042,4528.43466,42,10,2.03968,0.931979999999996,0.426160000000003,29,-0.339100000000002,5
Allylthiourea,98.8237,98.82611,98.31288,98.35509,97.83501,97.42035,97.53391,97.23466,97.99091,98.71179,98.71864,99.42466,99.34224,99.55252,99.48524,99.52503,99.76555,99.80679,99.65337,99.9718,99.69447,99.62394,99.87724,99.88678,98.9738616666667,97.23466,99.9718,4552.03488,38,14,2.73714,1.06308,0.378124999999997,15,-0.260040000000004,7
Empty.4.6,99.48386,99.53421,99.34343,98.87709,98.74351,98.03436,98.24449,98.45891,98.28422,98.75186,98.77818,99.29453,99.13384,98.91971,99.17888,99.15388,99.33637,99.64108,99.69274,99.59756,99.57345,99.72121,99.44877,99.77156,99.1249041666667,98.03436,99.77156,4558.73998,46,10,1.73719999999999,0.287699999999987,0.258174999999994,21,-0.354574999999997,9
Empty.4.7,99.18302,99.10118,99.09018,99.21529,98.65923,98.79924,98.19296,97.79854,97.62363,98.02421,97.38464,97.18936,97.58254,96.21622,95.98253,95.16681,94.4203,94.39434,93.10655,92.73008,91.51595,90.78035,90.05359,88.96268,95.8822258333333,88.96268,99.21529,4414.20114,6,46,10.25261,-10.22034,0.200289999999995,17,-0.683159999999994,25
GSK256066,99.28533,99.19449,99.224,99.32926,99.23312,99.26109,99.15091,99.12839,99.22972,98.98334,98.86514,98.8275,98.80891,98.88049,98.60756,98.5476,98.1824,98.41933,97.90816,97.91209,97.57487,97.76061,97.6664,97.54904,98.6470729166667,97.54904,99.32926,4538.22513,6,46,1.78022,-1.73629,0.118465,33,-0.255585000000004,35
X....MK.801.Maleate,99.85086,99.88373,99.95896,99.70648,99.62836,99.32014,99.03922,98.80623,99.11174,98.84062,99.04612,99.56578,99.59569,99.56786,99.70193,99.80602,99.82095,99.95248,99.86551,99.97968,99.8396,99.93789,99.79642,99.8579,99.6033404166667,98.80623,99.97968,4581.25158,38,14,1.17345,0.00704000000000349,0.259830000000001,21,-0.154110000000003,9
PF.05212384..PKI.587.,99.54037,99.39599,99.26993,99.55666,99.74649,99.96233,100,100,99.97865,100,99.97783,100,99.97795,100,99.97458,100,100,100,100,100,100,100,100,100,99.8908658333333,99.26993,100,4595.22119,12,4,0.730069999999998,0.459630000000004,0.143364999999996,5,-0.0721899999999991,1
VU.0361737,100,100,99.93438,99.91221,99.85563,99.91026,99.81113,99.68093,99.77003,99.90585,99.86708,99.93306,99.85555,99.9238,99.92234,99.97816,99.97913,99.97803,99.95101,99.95918,100,99.95316,100,100,99.9200383333333,99.68093,100,4596.16184,0,14,0.319069999999996,0,0.0679099999999977,17,-0.065100000000001,13
A66,99.59548,99.67084,99.60612,99.5003,99.63907,99.65883,99.75153,99.81894,99.87296,99.87407,99.97886,99.97933,99.95889,99.9705,99.95798,99.95944,100,99.98092,100,99.98092,99.93955,100,99.97409,99.97982,99.8603516666667,99.5003,100,4593.72158,32,6,0.499700000000004,0.384340000000009,0.069385000000004,7,-0.0529100000000042,5
CCG.50014,99.80293,99.88546,99.94411,99.9026,99.77418,99.70152,99.65537,99.6245,99.70704,99.79761,99.85237,99.93085,99.90701,99.97665,100,99.95206,100,99.96151,99.97795,100,99.9781,99.98016,100,99.95786,99.8862433333333,99.6245,100,4594.77889,28,14,0.375500000000002,0.154929999999993,0.0452849999999998,17,-0.0642100000000028,7
WYE.125132..WYE.132.,99.43881,99.5564,99.66725,99.75816,99.79815,99.91654,99.86102,99.9303,100,100,99.97554,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9125904166667,99.43881,100,4596.36553,16,0,0.561189999999996,0.561189999999996,0.0591949999999954,9,-0.0277600000000007,11
Go.6983,99.75553,99.68314,99.87269,99.40808,99.28974,99.11478,98.57039,98.43142,98.30708,99.07838,99.46694,99.54796,99.67754,99.87448,99.83878,99.92049,99.97644,100,100,99.98079,100,100,100,99.97498,99.5737345833333,98.30708,100,4579.80875,34,16,1.69292,0.219450000000009,0.385649999999998,17,-0.272194999999996,11
AS.252424,99.76969,99.87966,99.66319,99.59264,99.28423,99.54057,99.16369,99.63886,99.8467,99.93927,99.96738,99.89465,99.92001,99.97575,100,99.95992,99.98071,100,99.97989,100,99.97886,100,100,99.97948,99.8314645833333,99.16369,100,4592.16113,28,12,0.836309999999997,0.209789999999998,0.237584999999996,13,-0.18844,11
Mozavaptan,99.70621,99.60633,99.39536,99.37188,99.01587,98.86624,99.12584,99.31808,99.34446,99.41058,99.72292,99.63921,99.86205,99.75802,99.86813,99.95868,99.86868,99.93098,99.97644,99.89699,99.97029,99.97382,99.93803,100,99.64687875,98.86624,100,4583.34397,46,10,1.13376,0.293790000000001,0.156170000000003,19,-0.178004999999999,7
CAY10505,99.00053,98.98306,98.99728,98.45249,98.55374,98.02,98.16367,97.96964,98.07381,98.32677,98.74545,99.11464,99.27187,99.53773,99.69633,99.84831,99.8501,99.80554,99.89381,99.88174,99.78468,99.86536,99.90536,99.85052,99.1496845833333,97.96964,99.90536,4560.33381,44,14,1.93572,0.849990000000005,0.209340000000005,19,-0.272395000000003,5
Pifithrin.α..PFTα.,98.09177,98.32414,98.0153,97.64512,97.39459,97.18832,96.69485,96.71156,96.15336,96.91996,97.87003,97.92958,98.41111,98.39618,99.09759,98.99169,99.56206,99.67527,99.60246,99.68659,99.68093,99.65537,99.73978,99.75243,98.3829183333333,96.15336,99.75243,4524.53588,46,16,3.59907,1.66066000000001,0.475034999999998,19,-0.2791,15
TG101209,98.56597,98.65337,98.05737,98.42319,98.89208,99.02658,99.38625,99.76064,99.82516,99.75636,99.88361,99.85355,99.98127,100,99.95522,99.95164,100,99.9781,100,100,99.97928,99.97871,100,99.91696,99.5760545833333,98.05737,100,4581.16769,26,4,1.94262999999999,1.35099000000001,0.234445000000001,7,-0.297999999999995,3
Pazopanib,99.30405,99.58947,99.52696,99.44131,99.25605,98.95245,98.92123,98.30894,98.07539,98.57378,98.55016,99.30529,99.28354,99.35143,99.62678,99.7659,99.67402,99.72445,99.88181,99.763,99.83352,99.74144,99.8184,99.87089,99.3391775,98.07539,99.88181,4569.10558,36,16,1.80642,0.566839999999999,0.377564999999997,21,-0.306144999999994,13
GSK1838705A,99.09951,99.24969,98.91149,98.99818,98.78342,98.30286,97.76863,97.85974,97.55595,98.76083,98.64832,99.08273,99.08453,99.4706,99.59445,99.80824,99.87304,99.75463,99.69289,99.94804,99.64142,99.93561,99.9298,99.94666,99.1542191666667,97.55595,99.94804,4560.35635,38,16,2.39209000000001,0.847149999999999,0.602440000000001,17,-0.267114999999997,11
Lamotrigine,99.19242,99.18883,99.23546,99.21328,99.13226,99.08881,98.86646,99.00841,99.16798,99.26206,99.13094,99.44048,99.44912,99.68148,99.77073,99.80637,99.8434,99.84036,99.80215,99.76492,99.93292,99.85893,99.88471,99.88223,99.4768629166667,98.86646,99.93292,4575.81477,40,12,1.06645999999999,0.689810000000008,0.154769999999999,21,-0.111174999999996,11
